,order_id,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,sales_id,product_id,price_per_unit,quantity_x,total_price,product_type,product_name,size,colour,price,quantity_y,description,differance,year_order,month_order,day_order,name_day_order,year_delivery,month_delivery,day_delivery,name_day_delivery,differance_num
0,1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,0,218,106,2,212,Shirt,Chambray,L,orange,105,44,"A orange coloured, L sized, Chambray Shirt",25 days,2021,8,30,Monday,2021,9,24,Friday,25
1,1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,1,481,118,1,118,Jacket,Puffer,S,indigo,110,62,"A indigo coloured, S sized, Puffer Jacket",25 days,2021,8,30,Monday,2021,9,24,Friday,25
2,1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,2,2,96,3,288,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",25 days,2021,8,30,Monday,2021,9,24,Friday,25
3,1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,3,1002,106,2,212,Trousers,Wool,M,blue,111,52,"A blue coloured, M sized, Wool Trousers",25 days,2021,8,30,Monday,2021,9,24,Friday,25
4,1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,4,691,113,3,339,Jacket,Parka,S,indigo,119,53,"A indigo coloured, S sized, Parka Jacket",25 days,2021,8,30,Monday,2021,9,24,Friday,25
5,1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,5,981,106,3,318,Trousers,Wool,S,red,111,65,"A red coloured, S sized, Wool Trousers",25 days,2021,8,30,Monday,2021,9,24,Friday,25
6,2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,6,915,96,1,96,Trousers,Drawstring,XS,orange,104,41,"A orange coloured, XS sized, Drawstring Trousers",10 days,2021,2,3,Wednesday,2021,2,13,Saturday,10
7,2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,7,686,113,1,113,Jacket,Parka,S,blue,119,72,"A blue coloured, S sized, Parka Jacket",10 days,2021,2,3,Wednesday,2021,2,13,Saturday,10
8,2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,8,1091,115,3,345,Trousers,Cropped,S,orange,99,78,"A orange coloured, S sized, Cropped Trousers",10 days,2021,2,3,Wednesday,2021,2,13,Saturday,10
9,2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,9,1196,105,1,105,Trousers,Pleated,S,orange,90,72,"A orange coloured, S sized, Pleated Trousers",10 days,2021,2,3,Wednesday,2021,2,13,Saturday,10
10,2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,10,157,91,3,273,Shirt,Linen,M,green,116,42,"A green coloured, M sized, Linen Shirt",10 days,2021,2,3,Wednesday,2021,2,13,Saturday,10
11,2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,11,1174,99,2,198,Trousers,High-Waisted,XL,green,98,78,"A green coloured, XL sized, High-Waisted Trousers",10 days,2021,2,3,Wednesday,2021,2,13,Saturday,10
12,3,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,12,54,104,1,104,Shirt,Dress,XL,green,119,52,"A green coloured, XL sized, Dress Shirt",26 days,2021,10,8,Friday,2021,11,3,Wednesday,26
13,3,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,13,6,96,2,192,Shirt,Oxford Cloth,S,orange,114,72,"A orange coloured, S sized, Oxford Cloth Shirt",26 days,2021,10,8,Friday,2021,11,3,Wednesday,26
14,3,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,14,1010,106,2,212,Trousers,Wool,XS,violet,111,80,"A violet coloured, XS sized, Wool Trousers",26 days,2021,10,8,Friday,2021,11,3,Wednesday,26
15,4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,15,1033,90,1,90,Trousers,Relaxed Leg,L,green,95,62,"A green coloured, L sized, Relaxed Leg Trousers",13 days,2021,5,6,Thursday,2021,5,19,Wednesday,13
16,4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,16,1184,99,3,297,Trousers,High-Waisted,XL,indigo,98,57,"A indigo coloured, XL sized, High-Waisted Trousers",13 days,2021,5,6,Thursday,2021,5,19,Wednesday,13
17,4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,17,769,109,1,109,Jacket,Peacoat,XL,violet,102,42,"A violet coloured, XL sized, Peacoat Jacket",13 days,2021,5,6,Thursday,2021,5,19,Wednesday,13
